IDRUN,IDTLOG,CALLER,TESTO,DINS
1,1,PLOAD_DIP,INIZIO PROCEDURA,2025-09-25 14:09:21
1,2,PLOAD_DIP,RIGHE INSERITE IN DIP00_OK: 25,2025-09-25 14:09:21
1,3,PLOAD_DIP,FINE PROCEDURA,2025-09-25 14:09:21
1,4,PLOAD_DIP,INIZIO PROCEDURA,2025-09-25 14:16:29
1,5,PLOAD_DIP,TABELLE DIP00_OK E DIP00_KO TRONCATE,2025-09-25 14:16:29
1,6,PLOAD_DIP,RIGHE INSERITE IN DIP00_OK: 8,2025-09-25 14:16:29
1,7,PLOAD_DIP,RIGHE INSERITE IN DIP00_KO: 14,2025-09-25 14:16:29
1,8,PLOAD_DIP,FINE PROCEDURA,2025-09-25 14:16:29
1,9,PLOAD_DIP,INIZIO PROCEDURA,2025-09-25 14:24:05
1,10,PLOAD_DIP,TABELLE DIP00_OK E DIP00_KO TRONCATE,2025-09-25 14:24:05
1,11,PLOAD_DIP,RIGHE INSERITE IN DIP00_OK: 7,2025-09-25 14:24:05
1,12,PLOAD_DIP,RIGHE INSERITE IN DIP00_KO: 15,2025-09-25 14:24:05
1,13,PLOAD_DIP,FINE PROCEDURA,2025-09-25 14:24:05
1,1,PLOAD_DIP,INIZIO PROCEDURA,2025-09-25 14:27:35
1,2,PLOAD_DIP,RIGHE INSERITE IN DIP00_OK: 25,2025-09-25 14:27:35
1,3,PLOAD_DIP,FINE PROCEDURA,2025-09-25 14:27:35
1,4,PLOAD_DIP,INIZIO PROCEDURA,2025-09-25 14:27:46
1,5,PLOAD_DIP,TABELLE DIP00_OK E DIP00_KO TRONCATE,2025-09-25 14:27:46
1,6,PLOAD_DIP,RIGHE INSERITE IN DIP00_OK: 7,2025-09-25 14:27:46
1,7,PLOAD_DIP,RIGHE INSERITE IN DIP00_KO: 15,2025-09-25 14:27:46
1,8,PLOAD_DIP,FINE PROCEDURA,2025-09-25 14:27:46
1,9,PLOAD_DIP,TABELLE DIP00_OK E DIP00_KO TRONCATE,2025-09-25 15:00:20
1,10,PLOAD_DIP,RIGHE INSERITE IN DIP00_OK: 7,2025-09-25 15:00:20
1,11,PLOAD_DIP,RIGHE INSERITE IN DIP00_KO: 15,2025-09-25 15:00:20
1,12,PLOAD_DIP,FINE PROCEDURA,2025-09-25 15:00:20
